# Column     -  Units  - Description
# IDcand     -         - Stream Candidate ID    
# CSS-SSS-ID -         - Catalina object ID         
# RAJ2000    -  deg    - J2000 right ascension      
# DEJ2000    -  deg    - J2000 declination      
# Rhel       -  kpc    - heliocentric distance     
# Rgal       -  kpc    - galactocentric distance (assuming Xsun=-8.5kpc)     
# Period     -  d      - Light curve period   
# AmpV       -  mag    - Light curve amplitude     
# FeH        -  dex    - Metallicity     
# flag       -         - FeH flag (0=metallicity from Drake+2013, 1=photometric metallicity computed in this paper)   
# pmRA       -  mas/yr - HSOY Proper motion in RA*cos(DE)        
# epmRA      -  mas/yr - pmRA error        
# pmDE       -  mas/yr - HSOY Proper motion in declination        
# epmDE      -  mas/yr - pmDE error        
# HSOY-ID    -         - HSOY object ID               
# IDcand   CSS-SSS-ID         RAJ2000     DEJ2000     Rhel    Rgal   Period    AmpV    FeH      flag   pmRA    epmRA   pmDE    epmDE   HSOY-ID
  09.0-1   J141058.5-300437   212.74387   -30.07702   13.41   9.72   0.4844    1.07    -1.27    0      -5.9    2.3     -1.6    2.3     3.8604064193147126E18   
  09.0-1   J141444.3-305402   213.68464   -30.90067   12.85   9.15   0.54334   0.9     -0.62    0      -3.6    2.4     0.3     2.4     3.8600726287629921E18   
  09.0-1   J140837.1-302335   212.15474   -30.39301   13.32   9.71   0.54619   0.65    -1.42    0      -1.6    2.4     -6.5    2.4     3.8603275399642245E18   
  09.0-1   J141444.7-305401   213.68613   -30.9004    13.57   9.7    0.54336   0.75    -1.35    0      -3.6    2.4     0.3     2.4     3.8600726287629921E18   
  09.0-1   J200726.1-304204   301.85873   -30.70102   15.4    9.18   0.63094   0.74    -1.57    0      2.2     2.2     -5.7    2.2     5.0102150331068047E18   
  09.0-1   J201450.2-320550   303.70909   -32.09724   15.78   9.7    0.67128   0.77    -1.64    0      -3.4    2.3     -3.6    2.3     4.9887788344572334E18   
  09.0-1   J201016.4-312636   302.5685    -31.44339   15.55   9.38   0.56964   0.83    -1.14    0      1.9     2.3     -6.1    2.3     5.012705948429054E18    
  09.0-1   J195731.2-340021   299.37996   -34.00583   15.53   9.02   0.61274   0.8     -1.88    0      0.7     3.7     -0.6    3.7     4.984933460503422E18    
  09.0-1   J201029.1-332305   302.62134   -33.38464   16.02   9.79   0.65035   0.71    -1.68    0      0.9     3.6     10.7    3.6     4.9879470646684764E18   
  09.0-1   J142503.3-344428   216.26381   -34.74114   14.0    9.64   0.4623    1.29    -1.19    0      -6.8    3.4     -2.9    3.4     3.8340407917923144E18   
  09.0-1   J143209.1-361404   218.0381    -36.23446   14.58   9.88   0.50482   1.09    -1.57    0      2.8     3.8     -2.7    3.8     3.8396119926907663E18   
  09.0-1   J142841.6-360158   217.17323   -36.03277   14.37   9.81   0.56555   1.0     -1.25    0      -6.8    3.6     -1.5    3.6     3.8395127782084547E18   
  09.0-1   J142952.3-343332   217.4679    -34.55887   13.41   9.03   0.63654   0.41    -1.03    0      3.0     3.6     -0.7    3.6     3.8461561191349366E18   
  09.0-1   J142938.3-342447   217.40946   -34.41296   13.95   9.47   0.55704   0.81    -1.53    0      -3.9    3.5     -3.8    3.5     3.8461416061744067E18   
  09.0-1   J144028.9-354908   220.12038   -35.81896   13.92   9.11   0.61891   0.54    -0.93    0      0.2     3.6     -3.2    3.6     3.8390258905719398E18   
  09.0-1   J195649.7-352002   299.20696   -35.33395   16.38   9.77   0.62802   0.47    -1.46    0      -2.4    3.8     -3.9    3.8     4.9836068807430359E18   
  09.0-1   J144001.8-374724   220.00752   -37.79013   13.99   9.17   0.70124   0.61    -1.94    0      -3.7    3.4     1.2     3.4     5.7694598050844283E18   
  09.0-1   J193920.6-373836   294.83577   -37.64346   15.95   9.02   0.54224   0.99    -1.31    0      1.3     3.7     -4.5    3.7     4.9328324387473285E18   
  09.0-1   J133105.6+163622   202.77337   16.60611    7.48    9.92   0.56376   1.19    -9.0     1      -6.1    2.1     1.8     2.1     4.384596011625687E18    
  09.0-1   J133546.4-023313   203.94364   -2.55386    9.46    9.66   0.66871   0.8     -9.0     1      -2.1    2.2     -0.4    2.2     3.9620935235657293E18   
  09.0-1   J133920.2+181205   204.83448   18.20146    7.72    9.99   0.62034   0.89    -9.0     1      -3.5    2.2     -8.7    2.2     4.3861748996863852E18   
  09.0-1   J133945.3-134745   204.9391    -13.7961    10.58   9.51   0.46227   0.89    -0.445   1      -5.3    2.3     -3.4    2.3     3.9267058203085194E18   
  09.0-1   J133949.5+064706   204.95636   6.78523     8.05    9.38   0.60068   0.6     -9.0     1      2.6     2.2     -9.5    2.2     4.3562102057101916E18   
  09.0-1   J134105.7-022241   205.27412   -2.37827    9.14    9.33   0.53988   0.78    -1.203   1      -1.8    2.1     -3.5    2.1     3.9624655645851668E18   
  09.0-1   J134155.4-134615   205.48099   -13.77087   10.32   9.28   0.60197   0.84    -9.0     1      -6.5    2.3     1.5     2.3     3.9269109096295588E18   
  09.0-1   J150701.4+412253   226.75607   41.38151    5.71    9.32   0.50575   1.16    -9.0     1      0.7     2.2     6.5     2.2     7.6164522666796211E17   
  09.0-1   J161858.3+495432   244.74298   49.9091     5.8     9.53   0.45941   1.05    -9.0     1      -4.7    2.2     -7.4    2.2     6.2133696366277133E17   
  09.0-1   J162725.5+534334   246.85659   53.72614    6.05    9.94   0.61644   0.53    -9.0     1      -6.5    2.2     0.7     2.2     6.3222646149220736E17   
  09.0-1   J173206.0+490319   263.02522   49.05545    5.91    9.29   0.57919   0.71    -1.416   1      -3.6    2.1     -3.1    2.1     5.8384030958304499E17   
  09.0-1   J173237.0+511224   263.15448   51.20687    5.94    9.5    0.56434   0.68    -9.0     1      -3.2    2.1     -2.6    2.1     5.8493037909061312E17   
  09.0-1   J173907.6+550053   264.7819    55.01474    6.08    9.92   0.48585   0.97    -1.48    1      -3.5    2.2     -0.0    2.2     5.9708486944629965E17   
  09.0-1   J203859.3-191438   309.74745   -19.24393   13.63   9.05   0.58956   0.69    -9.0     1      3.5     2.3     -1.5    2.3     5.1359109679718175E18   
  09.0-1   J205919.6-040354   314.83194   -4.06511    11.99   9.54   0.49198   1.02    -9.0     1      -3.2    2.2     -6.5    2.2     5.1853161210765691E18   
  09.0-1   J210100.1-010505   315.25069   -1.08494    11.61   9.57   0.69098   0.63    -1.877   1      1.6     2.2     0.7     2.2     1.34491406566995302E18  
  09.0-1   J210210.1+012902   315.5421    1.48401     10.71   9.22   0.7046    0.4     -2.121   1      -1.0    2.2     -6.2    2.2     1.73002631039489894E18  
  09.0-1   J210257.3-071340   315.73916   -7.22798    12.6    9.84   0.636     0.34    -0.689   1      2.0     2.2     -3.2    2.2     1.33544388107878451E18  
  09.0-1   J210426.1+121717   316.10907   12.28831    9.81    9.67   0.46734   0.94    -1.522   1      -2.4    2.2     -5.3    2.2     1.76641128746846362E18  
  09.0-1   J210542.8-031158   316.42846   -3.19954    11.57   9.51   0.48985   0.95    -1.912   1      -4.9    2.3     -2.8    2.3     1.34312876527912858E18  
  09.0-1   J210615.8-011448   316.56589   -1.24694    11.93   9.94   0.61065   0.62    -1.36    1      -6.3    2.3     -2.7    2.3     1.34524538773021594E18  
  11.0-1   J091327.4-105622   138.36424   -10.93977   5.12    11.69  0.55249   0.58    -1.33    0      -4.4    2.3     1.4     2.3     3.6163320352200684E18   
  11.0-1   J091546.5-121450   138.94386   -12.2471    4.74    11.33  0.76634   0.45    -1.5     0      1.0     2.3     -8.4    2.3     3.6188231830153984E18   
  11.0-1   J093023.9-124917   142.59953   -12.82132   5.2     11.48  0.45524   1.09    -1.42    0      0.4     1.4     -5.4    1.4     3.6202985872888986E18   
  11.0-1   J110455.1-124117   166.22961   -12.68803   7.77    11.77  0.52782   0.88    -1.36    0      2.6     2.2     -4.4    2.2     3.7291282473061555E18   
  11.0-1   J123915.6-134850   189.81563   -13.81364   11.44   11.93  0.65651   0.75    -2.06    0      4.2     2.3     -3.7    2.3     3.9319946435017201E18   
  11.0-1   J102545.7-142015   156.44038   -14.33737   6.93    11.84  0.54358   0.87    -1.49    0      -6.8    2.3     -2.8    2.3     3.6878876873318866E18   
  11.0-1   J103223.2-153512   158.09698   -15.58678   6.41    11.31  0.67097   0.25    -0.79    0      1.3     2.3     -6.6    2.3     3.6876520687251845E18   
